n_tokens_title,n_tokens_content,num_hrefs,num_imgs,num_videos,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,abs_title_subjectivity,abs_title_sentiment_polarity,shares
12,363,5,1,1,7,0,1,0,0,0,0,4200,4200,4200,0.507752124419,0.175994067661,0.0440771349862,0.0137741046832,0.0714285714286,0.357142857143,5100
11,502,6,2,0,6,0,0,0,0,0,1,1200,1200,1200,0.312202380952,0.0514880952381,0.0219123505976,0.0119521912351,0.5,0,3100
6,951,22,1,0,9,0,0,1,0,0,0,548,22200,4942.25,0.483646945647,0.0950459355459,0.0609884332282,0.0283911671924,0.5,0,1300
9,496,10,1,0,10,0,0,1,0,0,0,1200,3500,2350,0.472504456328,0.119295900178,0.0483870967742,0.0161290322581,0.5,0,1400
8,148,6,0,1,10,0,1,0,0,0,0,1500,1500,1500,0.494343434343,0.193636363636,0.0405405405405,0.0135135135135,0.25,0.8,1000
10,1369,11,12,5,10,0,1,0,0,0,0,2900,13300,8966.66666667,0.452956322317,0.156769782086,0.0496712929145,0.0284879474069,0.25,0.166666666667,815
11,367,32,0,1,10,0,0,0,0,0,0,4500,4500,4500,0.48617965368,0.180103896104,0.0354223433243,0.00817438692098,0.166666666667,0.333333333333,2000
13,408,7,3,0,6,1,0,0,0,0,0,1500,1500,1500,0.472494172494,0.0639277389277,0.0343137254902,0.0171568627451,0.0454545454545,0.136363636364,770
12,301,5,1,0,7,0,0,1,0,0,0,676,5800,2625.33333333,0.429710144928,0.013768115942,0.0265780730897,0.0232558139535,0.5,0,795
10,536,32,4,0,7,0,0,0,0,0,1,0,0,0,0.452601775329,0.130831037649,0.0317164179104,0.00559701492537,0.4,0.4,2000
14,117,5,0,0,7,0,0,1,0,0,0,0,0,0,0.530833333333,0.24875,0.0512820512821,0.00854700854701,0.3125,0.0625,1100
13,290,7,1,1,9,0,0,0,0,1,0,2000,5300,3850,0.444036796537,-0.0477651515152,0.0241379310345,0.0206896551724,0.247727272727,0.0318181818182,1200
12,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,11300
10,553,3,1,0,4,0,0,1,0,0,0,726,7100,2856,0.538961800473,0.205367629786,0.0488245931284,0.0108499095841,0.5,0,2200
8,837,15,3,2,10,0,0,0,0,0,1,5200,5200,5200,0.421069146273,0.0789176016727,0.026284348865,0.0131421744325,0.5,0,1500
9,268,8,0,3,10,0,0,0,0,0,0,3800,3800,3800,0.516343118687,0.101665088384,0.0597014925373,0.0410447761194,0.4,0.5,4800
14,195,11,1,9,7,0,1,0,0,0,0,753,753,753,0.543636363636,0.0868686868687,0.0358974358974,0.025641025641,0.5,1,2300
14,780,8,1,2,5,0,0,0,0,0,1,22600,22600,22600,0.408968253968,-0.023380952381,0.0128205128205,0.025641025641,0.5,0,1000
10,556,16,7,0,10,1,0,0,0,0,0,2200,2200,2200,0.529627799736,0.224703557312,0.0539568345324,0.00719424460432,0.5,0.85,2200
12,94,4,1,0,7,0,0,0,1,0,0,6400,13300,9850,0.455909090909,0.194772727273,0.0744680851064,0.0106382978723,0.0454545454545,0.136363636364,897
10,381,8,1,0,10,0,0,1,0,0,0,0,0,0,0.486846784168,0.186315321583,0.0472440944882,0.010498687664,0.5,0,277
9,581,10,3,0,8,0,0,1,0,0,0,14600,14600,14600,0.478163211058,0.153716994506,0.0567986230637,0.013769363167,0.5,0,5200
9,329,5,1,0,7,1,0,0,0,0,0,10300,10300,10300,0.324118165785,-0.0518298059965,0.0182370820669,0.0182370820669,0.5,0,945
11,1081,12,1,0,10,0,0,0,0,0,1,0,0,0,0.583600393673,0.142761648264,0.054579093432,0.0212765957447,0.5,0,13900
9,361,4,1,0,6,0,0,1,0,0,0,41700,41700,41700,0.288404040404,0.114232323232,0.0221606648199,0.01108033241,0.5,0,479
10,661,9,1,0,7,0,0,1,0,0,0,0,0,0,0.383948863636,0.200692471591,0.0605143721634,0.0136157337368,0.5,0,3000
9,143,1,0,1,6,0,0,0,0,0,0,2900,2900,2900,0.573571428571,-0.0139285714286,0.020979020979,0.020979020979,0.5,0,1000
11,131,3,3,2,8,0,0,0,0,0,0,14100,32500,23300,0.752777777778,-0.33125,0.0152671755725,0.030534351145,0.166666666667,0.25,48500
10,536,8,1,0,8,0,0,0,0,1,0,0,0,0,0.51692325856,0.225574380165,0.0634328358209,0.0130597014925,0.5,0,1600
14,155,5,1,0,6,0,0,1,0,0,0,608,1400,1000.66666667,0.553535353535,0.394949494949,0.0387096774194,0,0.166666666667,0.25,1300
10,390,20,0,16,9,0,0,0,0,0,0,6800,13700,10250,0.568686868687,0.262920875421,0.0461538461538,0.0102564102564,0.5,0,233400
12,200,5,0,10,8,0,0,0,0,0,0,2600,2600,2600,0.771739130435,0.334782608696,0.095,0.005,0.333333333333,0.333333333333,6600
16,0,0,16,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0.19696969697,0.0909090909091,3500
8,221,4,1,1,10,0,0,0,0,1,0,2800,52900,27850,0.322619047619,0.0737012987013,0.0361990950226,0.0226244343891,0,0.136363636364,6200
12,535,1,2,2,5,0,1,0,0,0,0,1100,1100,1100,0.404586260734,0.0434914129586,0.0467289719626,0.0299065420561,0.5,0,817
9,296,6,2,1,6,0,0,0,0,0,1,1900,6100,3300,0.459632034632,0.0506493506494,0.0405405405405,0.0135135135135,0.5,0,2400
12,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,25200
9,475,3,6,2,8,0,0,0,0,0,1,641,2900,1770.5,0.281535086535,0.0712065412065,0.0315789473684,0.0126315789474,0.5,0,2500
11,1073,6,8,0,10,0,0,0,0,1,0,0,0,0,0.487591991342,0.162052895022,0.0549860205033,0.0195712954334,0.5,0,782
8,1221,9,1,0,10,0,0,0,0,1,0,560,15500,6253.33333333,0.458949248583,0.186699310175,0.0565110565111,0.017199017199,0.4,0.6,1600
8,87,3,0,0,10,0,0,0,0,1,0,0,0,0,0.542142857143,0.153928571429,0.0459770114943,0.0229885057471,0.25,0.8,2400
7,342,13,1,0,4,0,0,0,1,0,0,6000,86200,46100,0.393312757202,0.144341563786,0.0321637426901,0.0204678362573,0.5,0,4700
10,412,22,11,0,10,1,0,0,0,0,0,1200,1200,1200,0.454545454545,0.150078914141,0.0339805825243,0.0121359223301,0,0.5,1100
9,1079,25,11,0,7,0,0,0,0,1,0,810,48000,14402,0.419900221729,0.166830984057,0.0463392029657,0.014828544949,0.5,0,2500
6,522,8,17,0,7,0,0,0,0,0,1,1100,1300,1200,0.45935828877,0.0711408199643,0.0114942528736,0.00766283524904,0.0454545454545,0.136363636364,3500
12,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1200
11,1080,84,1,2,6,0,0,0,0,0,1,16800,46300,27700,0.440617913832,0.0504934549577,0.0240740740741,0.0194444444444,0.5,0,5900
8,1572,6,3,0,7,0,1,0,0,0,0,656,1100,952,0.539229347042,0.17223246326,0.0578880407125,0.0209923664122,0.35,0.45,1300
11,1409,4,31,3,10,0,1,0,0,0,0,5600,11800,8700,0.567275552196,0.146411774586,0.056068133428,0.0262597586941,0.5,0,3200
11,953,7,1,0,7,0,0,0,0,1,0,1100,4500,2233.33333333,0.528908730159,0.0809499007937,0.0451206715635,0.0220356768101,0.1,0.15,2000
10,560,10,1,0,6,0,0,0,0,0,1,2500,2500,2500,0.25891955267,0.0550505050505,0.025,0.0267857142857,0.211111111111,0.155555555556,1300
11,308,7,1,0,4,0,1,0,0,0,0,936,2900,1918,0.369540229885,0.0149425287356,0.0292207792208,0.038961038961,0.266666666667,0.0666666666667,1900
12,1189,3,3,1,7,0,0,0,0,1,0,35700,35700,35700,0.538257575758,0.174425054113,0.040370058873,0.0185029436501,0.166666666667,0.25,67800
13,105,3,0,1,5,0,0,0,0,0,0,0,0,0,0.503472222222,0.190277777778,0.0666666666667,0,0.2125,0.2,1100
